ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
119,RCOF,median,,,tonnes carbon per km2,,
120,RCOF,median,,,tonnes carbon per km2,,
121,RCOF,median,,,tonnes carbon per km2,,
122,RCOF,median,,,tonnes carbon per km2,,
123,RCOF,median,,,tonnes carbon per km2,,
124,RCOF,median,,,tonnes carbon per km2,,
125,RCOF,median,,,tonnes carbon per km2,,
126,RCOF,median,,,tonnes carbon per km2,,
127,RCOF,median,,,tonnes carbon per km2,,
128,RCOF,median,,,tonnes carbon per km2,,
129,RCOF,median,,,tonnes carbon per km2,,
ESH,RCOF,median,,,tonnes carbon per km2,,
AFG,PLNT,median,,,tonnes carbon per km2,,
GBR,PLNT,median,,,tonnes carbon per km2,,
ALB,PLNT,median,,,tonnes carbon per km2,,
DZA,PLNT,median,,,tonnes carbon per km2,,
USA,PLNT,median,0.4294454601588276,0.056642278882024145,tonnes carbon per km2,6.0,34.66800018310546
ATA,PLNT,median,,,tonnes carbon per km2,,
ATG,PLNT,median,,,tonnes carbon per km2,,
ARG,PLNT,median,,,tonnes carbon per km2,,
AND,PLNT,median,,,tonnes carbon per km2,,
AGO,PLNT,median,1.5140968023395962,0.7096409750091544,tonnes carbon per km2,2.0,2.0189999389648436
ARM,PLNT,median,,,tonnes carbon per km2,,
NLD,PLNT,median,,,tonnes carbon per km2,,
AUS,PLNT,median,,,tonnes carbon per km2,,
AUT,PLNT,median,,,tonnes carbon per km2,,
AZE,PLNT,median,,,tonnes carbon per km2,,
BHS,PLNT,median,,,tonnes carbon per km2,,
BRB,PLNT,median,,,tonnes carbon per km2,,
BLR,PLNT,median,,,tonnes carbon per km2,,
BEL,PLNT,median,,,tonnes carbon per km2,,
